"","visual_part_id","total_image_rts","total_letter_rts","total_visual_rts","random_image_mean_rt","random_letter_mean_rt","structured_image_mean_rt","structured_letter_mean_rt","random_lsl_rt_slope","random_vsl_rt_slope","structured_lsl_rt_slope","structured_vsl_rt_slope"
"1","blast_a_001","47","48","95",465.140323243957,483.291375255875,537.792344777375,389.902353977042,"3.454","4.893","2.501","8.145"
"2","blast_a_002","49","48","97",420.34106100536,525.648877993,478.117924329625,170.13819318321,"-10.351","-2.758","-14.068","0.925"
"3","blast_a_004","46","48","94",420.844945408864,471.484554361,437.447300477417,461.19359414665,"-5.126","4.028","0.101","-4.394"
"4","blast_a_005","50","48","98",497.457148661115,531.452126099696,436.068938791458,296.885213189667,"-2.116","1.692","-2.058","-7.12"
"5","blast_a_006","46","48","94",434.4073130505,426.36766293025,442.302511339583,438.877024204583,"-1.402","-2.637","-0.076","0.111"
"6","blast_a_007","50","48","98",453.831991919269,461.413076057167,413.508143486917,412.790001037417,"-0.591","2.281","2.467","-2.088"
"7","blast_a_008","46","48","94",432.064290287381,444.638162509,339.888055452625,192.353543283165,"3.974","1.427","-2.515","-10.154"
"8","blast_a_010","48","48","96",470.966729495368,525.671921823292,521.335958239957,454.495722983208,"-4.807","11.786","6.21","0.757"
"9","blast_a_011","48","48","96",433.310231337565,444.782260951667,420.8098857655,362.482307402167,"-3.347","3.653","-1.661","-7.049"
"10","blast_a_012","36","36","72",575.088531092083,586.235321913261,511.3981172215,497.658570733583,"-0.921","7.12","-7.864","0.231"
"11","blast_a_013","50","48","98",526.973701283564,510.749735722167,370.12678008925,318.114669057486,"2.955","-4.548","-21.85","-11.783"
"12","blast_a_014","50","48","98",518.584436573885,442.350731854174,490.2658207615,349.956303524313,"-0.511","-1.023","-13.166","-3.591"
"13","blast_a_015","50","48","98",465.719117442038,482.286309916125,463.154622723792,238.571238923975,"-4.616","0.962","0.545","-0.236"
"14","blast_a_017","48","48","96",601.033707227955,660.598387578095,390.243736788704,436.445282481646,"-2.497","11.456","-19.92","-9.608"
"15","blast_a_018","48","48","96",441.298086496522,404.857508565917,413.864824398875,422.923308636917,"0.109","-0.073","-1.45","1.337"
"16","blast_a_020","48","48","96",530.733005695652,506.909715844917,491.30739204225,544.052740625,"-1.792","1.097","1.184","0.883"
"17","blast_a_021","50","48","98",428.239367739961,424.6397434495,420.471136771125,317.00059794225,"-0.497","2.642","-16.673","0.536"
"18","blast_a_022","50","48","98",435.725395496154,442.670252012217,433.155447244625,433.497836192375,"0.796","-0.206","-1.817","-2.494"
"19","blast_a_023","48","48","96",541.325130722458,471.76277505925,494.694542596333,470.510482299958,"-6.398","2.748","4.838","-2.32"
"20","blast_a_024","48","48","96",543.263762275579,511.178966937158,475.672837468056,567.267655871048,"-6.093","0.333","4.437","-0.312"
"21","blast_a_025","50","48","98",547.780215502846,584.660038665958,466.344203588708,489.278768143542,"10.576","-0.828","-2.432","-1.625"
"22","blast_a_026","35","36","71",438.258472814364,411.351941662875,432.563710459792,71.8435803273525,"0.632","-2.002","16.224","-2.259"
"23","blast_a_027","50","48","98",525.466508519577,518.194797632048,507.180461777667,39.1621426767773,"-5.556","-0.166","-17.944","0.441"
"24","blast_a_028","50","48","98",649.586788396682,686.088104728353,763.600004035357,631.802044736626,"19.688","12.077","17.39","-16.737"
"25","blast_a_035","46","48","94",481.175758621864,492.887901223217,520.646532376667,456.556965907542,"-0.221","-0.15","0.272","6.558"
"26","blast_a_038","48","48","96",468.994928442913,513.722976048792,426.380276679958,205.878714720388,"-2.497","-0.305","-6.867","-3.478"
"27","blast_a_039","48","48","96",558.322230974792,529.351458829882,473.7697124482,497.624913851375,"0.742","-2.313","7.312","1.494"
"28","blast_a_044","48","48","96",509.18977459275,565.938254197638,526.837805907,344.333877166108,"-8.799","-1.49","-16.427","-2.35"
